variant,canonical
1 Leg Pushups,1 Leg Push Up
Ab Crunches,Ab Crunch
Air Squats,Air Squat
Band Pull Apart,Band Pull-Apart
Banded Glute Bridges,Banded Glute Bridge
Banded Good Morning *,Banded Good Morning
Flat Barbell Bench Press,Barbell Bench Press
Barbell Curls,Barbell Curl
4. Barbell Hip Thrust,Barbell Hip Thrust
Barbell Hip Thrusts,Barbell Hip Thrust
Barbell Romanian Deadlift,Barbell Romanian Deadlifts
Barbell Row,Barbell Rows
Barbell Shrugs,Barbell Shrug
Flat Bench Press,Bench Press
Bent-Over Dumbbell Row,Bent Over Dumbbell Row
Bicep Curls,Bicep Curl
Bicycle Crunches,Bicycle Crunch
Bodyweight Single Leg Deadlift,Bodyweight Single-Leg Deadlift
Bodyweight Squats,Bodyweight Squat
Box Squats,Box Squat
Bulgarian Split Squats,Bulgarian Split Squat
Cable Face Pulls,Cable Face Pull
Cable Pull Through,Cable Pull-Through
Cable Tricep Extensions,Cable Tricep Extension
Chest Dip **,Chest Dip
Chin Ups,Chin Up
Close Grip Lat Pulldown,Close Grip Lat Pull Down
Close Grip Push Ups,Close Grip Push Up
Close-Grip Push-Up,Close Grip Push Up
Close Grip Bench Press,Close-Grip Bench Press
3. Crunches,Crunches
Crunch,Crunches
Deadlifts,Deadlift
Decline Sit Ups,Decline Sit Up
Dips *,Dips
Flat Dumbbell Bench Press,Dumbbell Bench Press
Dumbbell Curls,Dumbbell Curl
Dumbbell Fly,Dumbbell Flys
Flat Dumbbell Fly,Dumbbell Flys
Dumbbell Lunges,Dumbbell Lunge
Dumbbell Reverse Flye,Dumbbell Reverse Fly
Dumbbell Shrugs,Dumbbell Shrug
3. Dumbbell Step Up,Dumbbell Step Up
Dumbbell Step Ups,Dumbbell Step Up
3. Dumbbell Stiff Leg Deadlift,Dumbbell Stiff Leg Deadlift
Dumbbell Tricep Kickback,Dumbbell Tricep Kickbacks
Exercise Ball Crunches,Exercise Ball Crunch
EZ Bar Curls,EZ Bar Curl
Face Pulls,Face Pull
Glute Bridges,Glute Bridge
Glute Cable Kickbacks,Glute Cable Kickback
Glute Kickbacks,Glute Kick Back
Goblet Squats,Goblet Squat
Good Mornings,Good Morning
Hanging Knee Raises,Hanging Knee Raise
Hanging Leg Raises,Hanging Leg Raise
4. Incline Dumbbell Curl,Incline Dumbbell Curl
Incline Dumbbell Fly,Incline Dumbbell Flys
Inverted Rows,Inverted Row
Jump Squats,Jump Squat
Jumping Lunge,Jumping Lunges
Kettlebell Swings,Kettlebell Swing
Lateral Raises,Lateral Raise
Leg Curls,Leg Curl
3. Leg Extensions,Leg Extension
Leg Extensions,Leg Extension
Lying Leg Curl *,Lying Leg Curl
Lying Leg Curls,Lying Leg Curl
Lying Leg Raises,Lying Leg Raise
Lying Tricep Extension,Lying Triceps Extension
Lying Tricep Extensions,Lying Triceps Extension
3. Machine Chest Fly,Machine Chest Fly
Neutral Grip Pull Up *,Neutral Grip Pull Up
Oblique Crunches,Oblique Crunch
One Arm Dumbbell Rows,One Arm Dumbbell Row
Overhead Tricep Extension,Overhead Triceps Extension
Plie Squats,Plie Squat
Pull Up,Pull-Up
Pull Ups,Pull-Up
Pull Ups *,Pull-Up
Push Up,Push-Up
Push Up **,Push-Up
Push Ups,Push-Up
Push-Ups,Push-Up
Pushups,Push-Up
Reverse Hack Squat,Reverse Hack Squats
Reverse Lunges,Reverse Lunge
2. Romanian Deadlift,Romanian Deadlift
Rope Press Down,Rope Pressdown
Russian Twists,Russian Twist
3. Seated Cable Row,Seated Cable Row
Seated Calf Raise **,Seated calf Raise
4. Seated Dumbbell Press,Seated Dumbbell Press
Seated Leg Extensions,Seated Leg Extension
4. Side Crunches,Side Crunch
Side Crunches,Side Crunch
Single Leg Calf Raise,Single-Leg Calf Raise
Sit-Up,Sit Up
Skullcrushers,Skullcrusher
4. Smith Machine Sumo Squats (Glute Focus),Smith Machine Sumo Squats (Glute Focus)
Spider Curls,Spider Curl
Squats,Squat
Standing Barbell Curl,Standing Barbell Curls
Standing Calf Raises,Standing Calf Raise
Stiff-Leg Deadlift,Stiff Leg Deadlift
Stiff Legged Deadlift,Stiff-Legged Deadlift
Sumo Deadlifts,Sumo Deadlift
Sumo Squats,Sumo Squat
T Bar Row,T-Bar Row
Tricep Extensions,Tricep Extension
Triceps Push Down,Tricep Pushdown
Walking Lunges,Walking Lunge
Wide Grip Lat Pull Down,Wide-Grip Lat Pulldown
Wide Grip Lat Pulldown,Wide-Grip Lat Pulldown
